Date,GLD,GDX,Beta,Alpha,Spread,Z_Score,Position,Signal_Change
2021-07-07,168.75999450683594,32.24564743041992,,,,,0.0,0.0
2021-07-08,168.64999389648438,31.424577713012695,,,,,0.0,0.0
2021-07-09,169.2100067138672,32.0683708190918,,,,,0.0,0.0
2021-07-12,169.0,31.620513916015625,,,,,0.0,0.0
2021-07-13,169.22000122070312,31.98439598083496,,,,,0.0,0.0
2021-07-14,171.0399932861328,32.41359329223633,,,,,0.0,0.0
2021-07-15,171.07000732421875,32.62819290161133,,,,,0.0,0.0
2021-07-16,169.41000366210938,31.64850616455078,,,,,0.0,0.0
2021-07-19,169.61000061035156,30.967388153076172,,,,,0.0,0.0
2021-07-20,169.38999938964844,31.07002639770508,,,,,0.0,0.0
2021-07-21,168.75999450683594,31.368593215942383,,,,,0.0,0.0
2021-07-22,169.08999633789062,31.172657012939453,,,,,0.0,0.0
2021-07-23,168.55999755859375,30.930070877075195,,,,,0.0,0.0
2021-07-26,168.16000366210938,31.25663375854492,,,,,0.0,0.0
2021-07-27,168.44000244140625,31.424577713012695,,,,,0.0,0.0
2021-07-28,169.2899932861328,31.90042304992676,,,,,0.0,0.0
2021-07-29,171.1699981689453,32.72149658203125,,,,,0.0,0.0
2021-07-30,169.82000732421875,32.581539154052734,,,,,0.0,0.0
2021-08-02,169.61000061035156,32.45091247558594,,,,,0.0,0.0
2021-08-03,169.49000549316406,32.74015808105469,,,,,0.0,0.0
2021-08-04,169.52999877929688,32.45091247558594,,,,,0.0,0.0
2021-08-05,168.86000061035156,31.965736389160156,,,,,0.0,0.0
2021-08-06,164.63999938964844,31.01404190063477,,,,,0.0,0.0
2021-08-09,161.72000122070312,30.258285522460938,,,,,0.0,0.0
2021-08-10,161.77000427246094,29.875741958618164,,,,,0.0,0.0
2021-08-11,164.0,30.472883224487305,,,,,0.0,0.0
2021-08-12,164.0399932861328,30.006366729736328,,,,,0.0,0.0
2021-08-13,166.38999938964844,30.622169494628903,,,,,0.0,0.0
2021-08-16,167.22000122070312,30.45421981811523,,,,,0.0,0.0
2021-08-17,166.97000122070312,30.0903377532959,,,,,0.0,0.0
2021-08-18,167.10000610351562,29.3812313079834,,,,,0.0,0.0
2021-08-19,166.61000061035156,28.8867244720459,,,,,0.0,0.0
2021-08-20,166.6999969482422,28.78409194946289,,,,,0.0,0.0
2021-08-23,168.72999572753906,29.969043731689453,,,,,0.0,0.0
2021-08-24,168.64999389648438,29.959714889526367,,,,,0.0,0.0
2021-08-25,167.47999572753906,29.558509826660156,,,,,0.0,0.0
2021-08-26,167.6699981689453,29.371902465820312,,,,,0.0,0.0
2021-08-27,170.19000244140625,30.426231384277344,,,,,0.0,0.0
2021-08-30,169.35000610351562,30.01569366455078,,,,,0.0,0.0
2021-08-31,169.69000244140625,30.416898727416992,,,,,0.0,0.0
2021-09-01,169.6999969482422,30.21163558959961,,,,,0.0,0.0
2021-09-02,169.25,30.323598861694336,,,,,0.0,0.0
2021-09-03,171.05999755859375,31.05136489868164,,,,,0.0,0.0
2021-09-07,167.7100067138672,30.18364143371582,,,,,0.0,0.0
2021-09-08,167.2899932861328,30.03435707092285,,,,,0.0,0.0
2021-09-09,168.02999877929688,29.81975746154785,,,,,0.0,0.0
2021-09-10,167.17999267578125,29.390562057495117,,,,,0.0,0.0
2021-09-13,167.74000549316406,29.959714889526367,,,,,0.0,0.0
2021-09-14,168.82000732421875,30.10900115966797,,,,,0.0,0.0
2021-09-15,167.8300018310547,30.09966468811035,,,,,0.0,0.0
2021-09-16,164.02999877929688,28.849403381347656,,,,,0.0,0.0
2021-09-17,163.77000427246094,28.53217315673828,,,,,0.0,0.0
2021-09-20,164.94000244140625,28.410879135131836,,,,,0.0,0.0
2021-09-21,166.0399932861328,28.42953872680664,,,,,0.0,0.0
2021-09-22,165.4199981689453,28.457529067993164,,,,,0.0,0.0
2021-09-23,163.50999450683594,27.888381958007812,,,,,0.0,0.0
2021-09-24,163.3000030517578,27.69244384765625,,,,,0.0,0.0
2021-09-27,163.63999938964844,27.69244384765625,,,,,0.0,0.0
2021-09-28,162.0500030517578,27.40320205688477,,,,,0.0,0.0
2021-09-29,161.32000732421875,26.9740047454834,,,,,0.0,0.0
2021-09-30,164.22000122070312,27.496505737304688,,,,,0.0,0.0
2021-10-01,164.58999633789062,27.365880966186523,,,,,0.0,0.0
2021-10-04,165.36000061035156,27.6831111907959,,,,,0.0,0.0
2021-10-05,164.58999633789062,27.78574562072754,,,,,0.0,0.0
2021-10-06,165.02999877929688,28.308244705200195,,,,,0.0,0.0
2021-10-07,164.16000366210938,28.364227294921875,,,,,0.0,0.0
2021-10-08,164.22999572753906,28.616146087646484,,,,,0.0,0.0
2021-10-11,163.9199981689453,28.53217315673828,,,,,0.0,0.0
2021-10-12,164.66000366210938,29.054672241210938,,,,,0.0,0.0
2021-10-13,167.58999633789062,29.99703598022461,,,,,0.0,0.0
2021-10-14,168.0,30.650156021118164,,,,,0.0,0.0
2021-10-15,165.3300018310547,30.342260360717773,,,,,0.0,0.0
2021-10-18,164.9199981689453,30.062349319458008,,,,,0.0,0.0
2021-10-19,165.4499969482422,30.323598861694336,,,,,0.0,0.0
2021-10-20,166.89999389648438,30.65949249267578,,,,,0.0,0.0
2021-10-21,166.75,30.538196563720703,,,,,0.0,0.0
2021-10-22,167.77000427246094,30.780786514282227,,,,,0.0,0.0
2021-10-25,168.92999267578125,31.209978103637695,,,,,0.0,0.0
2021-10-26,167.67999267578125,31.023372650146484,,,,,0.0,0.0
2021-10-27,168.1199951171875,30.8834171295166,,,,,0.0,0.0
2021-10-28,168.0800018310547,30.407567977905273,,,,,0.0,0.0
2021-10-29,166.64999389648438,29.586498260498047,,,,,0.0,0.0
2021-11-01,167.52000427246094,29.726457595825195,,,,,0.0,0.0
2021-11-02,167.16000366210938,29.418556213378903,,,,,0.0,0.0
2021-11-03,165.77000427246094,29.726457595825195,,,,,0.0,0.0
2021-11-04,167.64999389648438,29.623823165893555,,,,,0.0,0.0
2021-11-05,169.83999633789062,30.55685806274414,,,,,0.0,0.0
2021-11-08,170.4499969482422,30.69681167602539,,,,,0.0,0.0
2021-11-09,171.2899932861328,31.088685989379883,,,,,0.0,0.0
2021-11-10,173.14999389648438,31.639175415039062,,,,,0.0,0.0
2021-11-11,174.1199951171875,32.37627029418945,,,,,0.0,0.0
2021-11-12,174.4499969482422,32.44158172607422,,,,,0.0,0.0
2021-11-15,174.17999267578125,32.5628776550293,,,,,0.0,0.0
2021-11-16,172.9199981689453,31.993730545043945,,,,,0.0,0.0
2021-11-17,174.5,32.24564743041992,,,,,0.0,0.0
2021-11-18,173.94000244140625,31.947080612182617,,,,,0.0,0.0
2021-11-19,172.61000061035156,31.415245056152344,,,,,0.0,0.0
2021-11-22,168.74000549316406,30.79011344909668,,,,,0.0,0.0
2021-11-23,167.27999877929688,30.323598861694336,,,,,0.0,0.0
2021-11-24,167.1199951171875,30.24895477294922,,,,,0.0,0.0
2021-11-26,166.85000610351562,29.969043731689453,,,,,0.0,0.0
2021-11-29,166.6199951171875,29.978374481201172,,,,,0.0,0.0
2021-11-30,165.5,29.670475006103516,,,,,0.0,0.0
2021-12-01,166.16000366210938,28.765430450439453,,,,,0.0,0.0
2021-12-02,165.24000549316406,28.42020797729492,,,,,0.0,0.0
2021-12-03,166.6300048828125,28.63480567932129,,,,,0.0,0.0
2021-12-06,166.22000122070312,29.036012649536133,,,,,0.0,0.0
2021-12-07,166.80999755859375,29.24127960205078,,,,,0.0,0.0
2021-12-08,166.89999389648438,29.3812313079834,,,,,0.0,0.0
2021-12-09,165.8800048828125,28.625476837158203,,,,,0.0,0.0
2021-12-10,166.5800018310547,28.44820022583008,,,,,0.0,0.0
2021-12-13,167.0,28.466861724853516,,,,,0.0,0.0
2021-12-14,165.44000244140625,28.09364891052246,,,,,0.0,0.0
2021-12-15,166.14999389648438,27.711105346679688,,,,,0.0,0.0
2021-12-16,168.16000366210938,29.1013240814209,,,,,0.0,0.0
2021-12-17,167.8000030517578,29.04534149169922,,,,,0.0,0.0
2021-12-20,167.08999633789062,29.04059410095215,,,,,0.0,0.0
2021-12-21,167.02000427246094,29.25894546508789,,,,,0.0,0.0
2021-12-22,168.58999633789062,29.581724166870117,,,,,0.0,0.0
2021-12-23,168.97000122070312,29.71463203430176,,,,,0.0,0.0
2021-12-27,169.3699951171875,29.74311256408691,,,,,0.0,0.0
2021-12-28,168.63999938964844,29.515270233154297,,,,,0.0,0.0
2021-12-29,168.58999633789062,29.638683319091797,,,,,0.0,0.0
2021-12-30,169.8000030517578,30.170320510864254,,,,,0.0,0.0
2021-12-31,170.9600067138672,30.407655715942383,,,,,0.0,0.0
2022-01-03,168.3300018310547,29.667165756225582,,,,,0.0,0.0
2022-01-04,169.57000732421875,29.79057884216309,,,,,0.0,0.0
2022-01-05,169.05999755859375,29.287424087524418,,,,,0.0,0.0
2022-01-06,166.99000549316406,28.252635955810547,,,,,0.0,0.0
2022-01-07,167.75,28.489973068237305,,,,,0.0,0.0
2022-01-10,168.25999450683594,28.96464729309082,,,,,0.0,0.0
2022-01-11,170.2899932861328,29.562734603881836,,,,,0.0,0.0
2022-01-12,170.74000549316406,30.103862762451172,,,,,0.0,0.0
2022-01-13,170.16000366210938,29.657670974731445,,,,,0.0,0.0
2022-01-14,169.6699981689453,29.40134620666504,,,,,0.0,0.0
2022-01-18,169.38999938964844,29.05008888244629,,,,,0.0,0.0
