Date,GLD,GDX
2021-07-07,168.75999450683594,32.24564743041992
2021-07-08,168.64999389648438,31.424577713012695
2021-07-09,169.2100067138672,32.0683708190918
2021-07-12,169.0,31.620513916015625
2021-07-13,169.22000122070312,31.98439598083496
2021-07-14,171.0399932861328,32.41359329223633
2021-07-15,171.07000732421875,32.62819290161133
2021-07-16,169.41000366210938,31.64850616455078
2021-07-19,169.61000061035156,30.967388153076172
2021-07-20,169.38999938964844,31.070026397705078
2021-07-21,168.75999450683594,31.368593215942383
2021-07-22,169.08999633789062,31.172657012939453
2021-07-23,168.55999755859375,30.930070877075195
2021-07-26,168.16000366210938,31.256633758544922
2021-07-27,168.44000244140625,31.424577713012695
2021-07-28,169.2899932861328,31.900423049926758
2021-07-29,171.1699981689453,32.72149658203125
2021-07-30,169.82000732421875,32.581539154052734
2021-08-02,169.61000061035156,32.45091247558594
2021-08-03,169.49000549316406,32.74015808105469
2021-08-04,169.52999877929688,32.45091247558594
2021-08-05,168.86000061035156,31.965736389160156
2021-08-06,164.63999938964844,31.014041900634766
2021-08-09,161.72000122070312,30.258285522460938
2021-08-10,161.77000427246094,29.875741958618164
2021-08-11,164.0,30.472883224487305
2021-08-12,164.0399932861328,30.006366729736328
2021-08-13,166.38999938964844,30.622169494628906
2021-08-16,167.22000122070312,30.454219818115234
2021-08-17,166.97000122070312,30.0903377532959
2021-08-18,167.10000610351562,29.3812313079834
2021-08-19,166.61000061035156,28.8867244720459
2021-08-20,166.6999969482422,28.78409194946289
2021-08-23,168.72999572753906,29.969043731689453
2021-08-24,168.64999389648438,29.959714889526367
2021-08-25,167.47999572753906,29.558509826660156
2021-08-26,167.6699981689453,29.371902465820312
2021-08-27,170.19000244140625,30.426231384277344
2021-08-30,169.35000610351562,30.01569366455078
2021-08-31,169.69000244140625,30.416898727416992
2021-09-01,169.6999969482422,30.21163558959961
2021-09-02,169.25,30.323598861694336
2021-09-03,171.05999755859375,31.05136489868164
2021-09-07,167.7100067138672,30.18364143371582
2021-09-08,167.2899932861328,30.03435707092285
2021-09-09,168.02999877929688,29.81975746154785
2021-09-10,167.17999267578125,29.390562057495117
2021-09-13,167.74000549316406,29.959714889526367
2021-09-14,168.82000732421875,30.10900115966797
2021-09-15,167.8300018310547,30.09966468811035
2021-09-16,164.02999877929688,28.849403381347656
2021-09-17,163.77000427246094,28.53217315673828
2021-09-20,164.94000244140625,28.410879135131836
2021-09-21,166.0399932861328,28.42953872680664
2021-09-22,165.4199981689453,28.457529067993164
2021-09-23,163.50999450683594,27.888381958007812
2021-09-24,163.3000030517578,27.69244384765625
2021-09-27,163.63999938964844,27.69244384765625
2021-09-28,162.0500030517578,27.403202056884766
2021-09-29,161.32000732421875,26.9740047454834
2021-09-30,164.22000122070312,27.496505737304688
2021-10-01,164.58999633789062,27.365880966186523
2021-10-04,165.36000061035156,27.6831111907959
2021-10-05,164.58999633789062,27.78574562072754
2021-10-06,165.02999877929688,28.308244705200195
2021-10-07,164.16000366210938,28.364227294921875
2021-10-08,164.22999572753906,28.616146087646484
2021-10-11,163.9199981689453,28.53217315673828
2021-10-12,164.66000366210938,29.054672241210938
2021-10-13,167.58999633789062,29.99703598022461
2021-10-14,168.0,30.650156021118164
2021-10-15,165.3300018310547,30.342260360717773
2021-10-18,164.9199981689453,30.062349319458008
2021-10-19,165.4499969482422,30.323598861694336
2021-10-20,166.89999389648438,30.65949249267578
2021-10-21,166.75,30.538196563720703
2021-10-22,167.77000427246094,30.780786514282227
2021-10-25,168.92999267578125,31.209978103637695
2021-10-26,167.67999267578125,31.023372650146484
2021-10-27,168.1199951171875,30.8834171295166
2021-10-28,168.0800018310547,30.407567977905273
2021-10-29,166.64999389648438,29.586498260498047
2021-11-01,167.52000427246094,29.726457595825195
2021-11-02,167.16000366210938,29.418556213378906
2021-11-03,165.77000427246094,29.726457595825195
2021-11-04,167.64999389648438,29.623823165893555
2021-11-05,169.83999633789062,30.55685806274414
2021-11-08,170.4499969482422,30.69681167602539
2021-11-09,171.2899932861328,31.088685989379883
